run_name,arch,dropout,l2,test_acc,val_acc,train_acc,gap,time_sec,params
cnn_drop0.3,cnn,0.3,0.0,0.9178000092506409,0.9224166870117188,0.9667708277702332,0.044354140758514404,704.5037086009979,421642
cnn_drop0.3_l20.0001,cnn,0.3,0.0001,0.9164999723434448,0.9179999828338623,0.9549583196640015,0.03695833683013916,567.1003985404968,421642
cnn_baseline,cnn,0.0,0.0,0.9158999919891357,0.9198333621025085,0.9858750104904175,0.06604164838790894,720.857798576355,421642
cnn_l20.0001,cnn,0.0,0.0001,0.9045000076293945,0.9082499742507935,0.972000002861023,0.06375002861022949,719.0616834163666,421642
mlp_drop0.3,mlp,0.3,0.0,0.8820000290870667,0.8901666402816772,0.9025416374206543,0.01237499713897705,93.69702672958374,101770
mlp_drop0.3_l20.0001,mlp,0.3,0.0001,0.8784999847412109,0.8843333125114441,0.8924999833106995,0.008166670799255371,86.0511794090271,101770
mlp_baseline,mlp,0.0,0.0,0.8676999807357788,0.878000020980835,0.9287916421890259,0.05079162120819092,96.16598701477051,101770
mlp_l20.0001,mlp,0.0,0.0001,0.8657000064849854,0.8723333477973938,0.9146249890327454,0.04229164123535156,95.91301155090332,101770
